,time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
0,2024-07-24 00:00:00,0.0,0.0,NNW,338
1,2024-07-24 00:05:00,0.0,0.0,NNW,336
2,2024-07-24 00:10:01,0.8,2.5,NNW,333
3,2024-07-24 00:15:00,1.8,4.3,NNW,330
4,2024-07-24 00:20:00,3.5,4.3,NNW,332
5,2024-07-24 00:25:01,2.5,4.3,NNW,334
6,2024-07-24 00:30:00,2.5,4.3,NNW,334
7,2024-07-24 00:35:00,2.5,4.3,NNW,340
8,2024-07-24 00:40:00,3.5,7.0,NNW,345
9,2024-07-24 00:45:00,3.5,7.0,NNW,341
10,2024-07-24 00:50:00,3.5,5.2,NNW,338
11,2024-07-24 00:55:00,3.5,5.2,NNW,341
12,2024-07-24 01:00:00,2.5,4.3,NNW,343
13,2024-07-24 01:05:00,2.5,4.3,NNW,341
14,2024-07-24 01:10:00,2.5,3.5,NNW,340
15,2024-07-24 01:15:00,2.5,3.5,NNW,341
16,2024-07-24 01:20:00,2.5,3.5,NNW,336
17,2024-07-24 01:25:01,1.8,3.5,NNW,329
18,2024-07-24 01:30:01,0.8,2.5,NNW,333
19,2024-07-24 01:35:01,0.8,2.5,N,351
20,2024-07-24 01:40:00,1.8,3.5,N,353
21,2024-07-24 01:45:01,2.5,3.5,NNW,341
22,2024-07-24 01:50:01,2.5,3.5,NNW,342
23,2024-07-24 01:55:00,1.8,3.5,N,358
24,2024-07-24 02:00:00,1.8,4.3,NNE,16
25,2024-07-24 02:05:00,1.8,5.2,NNE,27
26,2024-07-24 02:10:00,2.5,5.2,NE,36
27,2024-07-24 02:15:00,3.5,5.2,NE,41
28,2024-07-24 02:20:00,2.5,5.2,NE,46
29,2024-07-24 02:25:00,2.5,5.2,NE,50
30,2024-07-24 02:30:00,3.5,5.2,NE,43
31,2024-07-24 02:35:00,3.5,5.2,NE,37
32,2024-07-24 02:40:00,2.5,5.2,NNE,33
33,2024-07-24 02:45:00,3.5,5.2,NNE,28
34,2024-07-24 02:50:00,3.5,5.2,NNE,29
35,2024-07-24 02:55:00,3.5,7.0,NNE,33
36,2024-07-24 03:00:01,4.3,7.0,NNE,33
37,2024-07-24 03:05:00,3.5,7.0,NNE,30
38,2024-07-24 03:10:00,2.5,7.0,NNE,18
39,2024-07-24 03:15:00,2.5,5.2,N,350
40,2024-07-24 03:20:00,3.5,4.3,NNW,335
41,2024-07-24 03:25:01,3.5,5.2,NNW,337
42,2024-07-24 03:30:00,3.5,5.2,NNW,344
43,2024-07-24 03:35:00,3.5,5.2,N,354
44,2024-07-24 03:40:00,3.5,7.0,N,354
45,2024-07-24 03:45:00,3.5,7.0,NNW,345
46,2024-07-24 03:50:00,2.5,4.3,NNW,339
47,2024-07-24 03:55:00,1.8,3.5,NNW,334
48,2024-07-24 04:00:00,0.8,2.5,NNW,332
49,2024-07-24 04:05:00,0.0,1.7,NNW,333
50,2024-07-24 04:10:00,0.0,2.6,NNW,332
51,2024-07-24 04:15:00,0.8,2.6,NNW,328
52,2024-07-24 04:20:00,0.0,2.5,NNW,327
53,2024-07-24 04:25:00,0.0,0.0,NNW,327
54,2024-07-24 04:30:00,0.0,0.0,NNW,330
55,2024-07-24 04:35:01,0.0,0.0,NNW,336
56,2024-07-24 04:40:01,0.0,0.0,NNW,337
57,2024-07-24 04:45:00,0.0,0.0,NNW,337
58,2024-07-24 04:50:00,0.0,0.0,NNW,342
59,2024-07-24 04:55:02,0.0,0.0,NNW,346
60,2024-07-24 05:00:00,0.0,0.0,NNW,346
61,2024-07-24 06:40:00,0.0,5.2,NNE,14
62,2024-07-24 06:45:00,2.5,7.0,NNE,20
63,2024-07-24 06:50:01,3.5,7.0,NNE,23
64,2024-07-24 06:55:02,3.5,7.0,NNE,22
65,2024-07-24 07:00:01,2.5,7.0,N,5
66,2024-07-24 07:05:00,1.8,4.3,NNW,346
67,2024-07-24 07:10:01,0.8,3.5,N,349
68,2024-07-24 07:15:02,0.8,3.5,N,3
69,2024-07-24 07:20:02,1.8,4.3,N,9
70,2024-07-24 07:25:01,2.5,4.3,N,9
71,2024-07-24 07:30:01,2.5,5.2,NNE,17
72,2024-07-24 07:35:01,3.5,7.0,NNE,19
73,2024-07-24 07:40:01,3.5,7.0,N,6
74,2024-07-24 07:45:01,4.3,7.0,N,354
75,2024-07-24 07:50:01,5.2,7.8,N,353
76,2024-07-24 07:55:01,5.2,8.7,N,353
77,2024-07-24 08:00:00,4.3,8.7,N,359
78,2024-07-24 08:05:01,3.5,7.0,N,8
