time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2026-04-01 00:05:00,9.5,14.0,NE,56
2026-04-01 00:10:01,11.3,14.8,ENE,57
2026-04-01 00:15:01,11.3,14.8,ENE,58
2026-04-01 00:20:01,12.2,14.8,ENE,58
2026-04-01 00:25:01,11.3,14.8,ENE,57
2026-04-01 00:30:02,10.5,14.8,NE,52
2026-04-01 00:35:01,8.7,14.8,NE,48
2026-04-01 00:40:01,7.8,13.0,NE,47
2026-04-01 00:45:01,8.7,17.4,NE,53
2026-04-01 00:50:01,10.5,17.4,ENE,61
2026-04-01 00:55:02,13.0,16.5,ENE,62
2026-04-01 01:00:01,11.3,16.5,NE,54
2026-04-01 01:05:01,8.7,15.6,NE,44
2026-04-01 01:10:01,7.8,12.2,NE,40
2026-04-01 01:15:00,6.0,10.5,NE,36
2026-04-01 01:20:01,6.0,10.4,NNE,28
2026-04-01 01:25:01,6.0,10.4,NNE,23
2026-04-01 01:30:01,6.0,8.7,NNE,20
2026-04-01 01:35:01,6.0,8.7,NNE,22
2026-04-01 01:40:01,6.0,8.7,NNE,26
2026-04-01 01:45:00,6.0,9.5,NNE,31
2026-04-01 01:50:01,6.0,10.4,NNE,32
2026-04-01 01:55:00,6.0,10.4,NNE,26
2026-04-01 02:00:01,6.0,9.6,NNE,21
2026-04-01 02:05:02,6.0,9.6,NNE,27
2026-04-01 02:10:02,6.0,9.5,NE,35
2026-04-01 02:15:01,6.0,9.5,NNE,30
2026-04-01 02:20:01,6.0,9.5,NNE,26
2026-04-01 02:25:02,7.0,9.5,NNE,31
2026-04-01 02:30:02,7.0,10.5,NNE,29
2026-04-01 02:35:01,6.0,10.5,NNE,26
2026-04-01 02:40:01,6.0,8.7,NNE,28
2026-04-01 02:45:01,6.0,10.5,NNE,33
2026-04-01 02:50:00,7.0,12.2,NE,40
2026-04-01 02:55:01,8.7,15.6,NE,55
2026-04-01 03:00:00,12.2,17.4,ENE,70
2026-04-01 03:05:00,12.2,17.4,ENE,71
2026-04-01 03:10:01,11.3,14.8,ENE,73
2026-04-01 03:15:00,11.3,14.0,ENE,77
2026-04-01 03:20:01,10.5,14.0,ENE,78
2026-04-01 03:25:01,10.5,12.2,ENE,70
2026-04-01 03:30:01,7.8,12.2,NE,53
2026-04-01 03:35:01,6.0,9.5,NE,36
2026-04-01 03:40:02,6.0,9.5,NNE,30
2026-04-01 03:45:01,6.0,11.3,NNE,23
2026-04-01 03:50:01,5.2,11.3,NNE,19
2026-04-01 03:55:01,4.3,8.7,NNE,17
2026-04-01 04:00:01,5.2,9.5,NNE,15
2026-04-01 04:05:01,5.2,9.5,NNE,13
2026-04-01 04:10:01,5.2,8.7,N,9
2026-04-01 04:15:02,5.2,8.7,N,356
2026-04-01 04:20:01,4.3,7.8,NNW,345
2026-04-01 04:25:02,3.5,7.0,N,358
2026-04-01 04:30:02,3.5,7.0,NNW,346
2026-04-01 04:35:01,3.5,5.2,NW,325
2026-04-01 04:40:02,3.5,5.2,NW,326
2026-04-01 04:45:01,2.5,5.2,NNW,327
2026-04-01 04:50:02,2.5,4.3,NW,326
2026-04-01 04:55:02,2.5,4.3,NW,325
2026-04-01 05:00:01,3.5,4.3,NW,322
2026-04-01 05:05:02,2.5,4.3,NW,321
2026-04-01 05:10:00,2.5,3.5,NW,319
2026-04-01 05:15:00,2.5,4.3,NW,321
2026-04-01 05:20:00,3.5,4.3,NNW,330
2026-04-01 05:25:00,3.5,4.3,NNW,339
2026-04-01 05:30:00,3.5,5.2,NNW,341
2026-04-01 05:35:00,3.5,5.2,NNW,347
2026-04-01 05:40:00,3.5,5.2,NNW,347
2026-04-01 05:45:00,3.5,4.3,NNW,343
2026-04-01 05:50:00,3.5,5.2,N,349
2026-04-01 05:55:00,3.5,5.2,N,356
2026-04-01 06:00:00,3.5,6.1,N,0
2026-04-01 06:05:00,3.5,6.1,N,5
2026-04-01 06:10:00,3.5,6.0,N,8
2026-04-01 06:15:00,3.5,6.0,N,5
2026-04-01 06:20:00,3.5,6.0,N,356
2026-04-01 06:25:00,4.3,6.0,N,353
2026-04-01 06:30:00,3.5,6.0,N,357
2026-04-01 06:35:01,3.5,7.0,N,7
2026-04-01 06:40:01,3.5,7.0,NNE,22
2026-04-01 06:45:00,3.5,7.0,NNE,28
2026-04-01 06:50:00,3.5,8.7,NNE,31
2026-04-01 06:55:00,5.2,8.7,NNE,32
2026-04-01 07:00:00,6.0,10.5,NNE,23
2026-04-01 07:05:00,5.2,10.5,NNE,22
2026-04-01 07:10:00,5.2,8.7,NNE,26
2026-04-01 07:15:00,6.0,8.7,NNE,28
2026-04-01 07:20:00,6.0,13.0,NE,36
2026-04-01 07:25:00,9.5,16.5,NE,51
2026-04-01 07:30:00,12.2,16.5,ENE,61
2026-04-01 07:35:00,10.5,16.5,NE,54
2026-04-01 07:40:00,7.0,16.5,NE,39
2026-04-01 07:45:01,6.0,16.5,NE,40
2026-04-01 07:50:00,8.7,15.6,NE,49
2026-04-01 07:55:00,10.5,16.5,NE,55
2026-04-01 08:00:00,13.0,16.5,ENE,59
2026-04-01 08:05:00,13.0,16.5,ENE,60
2026-04-01 08:10:00,14.0,18.3,ENE,62
2026-04-01 08:15:00,14.0,18.3,ENE,60
2026-04-01 08:20:00,12.2,17.3,ENE,57
2026-04-01 08:25:01,12.2,15.6,ENE,60
2026-04-01 08:30:00,13.0,15.6,ENE,64
2026-04-01 08:35:00,13.0,15.6,ENE,66
2026-04-01 08:40:00,13.0,15.6,ENE,69
2026-04-01 08:45:00,14.0,16.5,ENE,71
2026-04-01 08:50:00,13.0,16.5,ENE,68
2026-04-01 08:55:00,13.0,16.5,ENE,65
2026-04-01 09:00:00,13.0,16.5,ENE,64
2026-04-01 09:05:00,12.2,15.6,ENE,63
2026-04-01 09:10:00,12.2,15.6,ENE,62
2026-04-01 09:15:00,12.2,15.6,ENE,59
2026-04-01 09:20:01,10.5,14.8,NE,54
2026-04-01 09:25:00,11.3,17.4,ENE,57
2026-04-01 09:30:00,13.0,17.4,ENE,60
2026-04-01 09:35:00,13.0,15.6,ENE,58
2026-04-01 09:40:00,12.2,14.8,ENE,59
2026-04-01 09:45:00,12.2,14.8,ENE,60
2026-04-01 09:50:00,11.3,14.8,ENE,61
2026-04-01 09:55:01,12.2,14.8,ENE,61
2026-04-01 10:00:01,11.3,14.0,ENE,60
2026-04-01 10:05:00,10.5,13.0,ENE,58
2026-04-01 10:10:00,9.5,12.2,ENE,60
2026-04-01 10:15:00,9.5,12.2,ENE,62
2026-04-01 10:20:00,9.5,12.2,ENE,66
2026-04-01 10:25:00,9.5,12.2,ENE,71
2026-04-01 10:30:00,8.7,12.2,ENE,70
2026-04-01 10:35:00,7.8,12.2,ENE,68
2026-04-01 10:40:00,7.8,10.5,ENE,72
2026-04-01 10:45:00,8.7,11.3,ENE,76
2026-04-01 10:50:00,9.5,11.3,ENE,73
2026-04-01 10:55:01,9.5,11.3,ENE,74
2026-04-01 11:00:00,10.5,13.0,ENE,74
2026-04-01 11:05:00,10.5,13.0,ENE,72
2026-04-01 11:10:00,10.5,13.0,ENE,69
2026-04-01 11:15:00,10.5,13.0,ENE,69
2026-04-01 11:20:00,10.5,12.2,ENE,68
2026-04-01 11:25:00,11.3,14.0,ENE,69
2026-04-01 11:30:01,12.2,14.0,ENE,69
2026-04-01 11:35:00,12.2,14.0,ENE,70
2026-04-01 11:40:00,11.3,13.0,ENE,76
2026-04-01 11:45:00,11.3,13.0,ENE,77
2026-04-01 11:50:00,11.3,14.0,ENE,78
2026-04-01 11:55:00,12.2,14.0,ENE,77
2026-04-01 12:00:00,11.3,14.0,ENE,76
2026-04-01 12:05:00,11.3,14.0,E,80
2026-04-01 12:10:00,11.3,14.0,E,80
2026-04-01 12:15:01,11.3,14.0,ENE,77
2026-04-01 12:20:00,11.3,14.8,E,80
2026-04-01 12:25:00,12.2,14.8,E,82
2026-04-01 12:30:01,13.0,15.6,E,81
2026-04-01 12:35:01,13.0,18.3,ENE,77
2026-04-01 12:40:01,14.0,18.3,ENE,75
2026-04-01 12:45:00,14.0,16.5,ENE,77
2026-04-01 12:50:00,13.0,15.6,E,82
2026-04-01 12:55:01,13.0,15.6,E,82
2026-04-01 13:00:01,14.8,19.1,E,80
2026-04-01 13:05:01,16.5,20.0,E,80
2026-04-01 13:10:00,16.5,20.0,ENE,77
2026-04-01 13:15:00,15.6,20.0,ENE,75
2026-04-01 13:20:00,14.8,20.0,ENE,78
2026-04-01 13:25:02,13.0,17.3,E,82
2026-04-01 13:30:01,12.2,15.6,E,85
2026-04-01 13:35:01,12.2,15.6,E,87
2026-04-01 13:40:02,14.0,16.5,E,92
2026-04-01 13:45:01,14.0,17.3,E,92
2026-04-01 13:50:01,14.0,20.0,E,84
2026-04-01 13:55:02,15.6,20.0,E,81
2026-04-01 14:00:01,15.6,20.0,E,83
2026-04-01 14:05:02,14.8,20.0,E,84
2026-04-01 14:10:01,14.0,20.0,E,88
