,time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
0,2024-09-01 00:00:01,1.8,3.5,NW,326
1,2024-09-01 00:05:01,1.8,2.5,NW,326
2,2024-09-01 00:10:00,1.8,3.5,NNW,330
3,2024-09-01 00:15:01,1.8,3.5,NNW,335
4,2024-09-01 00:20:01,0.8,2.5,NNW,336
5,2024-09-01 00:25:01,0.0,0.8,NNW,336
6,2024-09-01 00:30:01,0.0,0.0,NNW,336
7,2024-09-01 00:35:01,0.0,0.0,NNW,334
8,2024-09-01 00:40:00,0.0,0.0,NNW,329
9,2024-09-01 00:45:00,0.0,0.0,NW,326
10,2024-09-01 00:50:01,0.0,0.0,NW,325
11,2024-09-01 00:55:00,0.0,0.0,NW,325
12,2024-09-01 01:00:00,0.0,0.0,NW,325
13,2024-09-01 01:05:00,0.0,0.0,NW,325
14,2024-09-01 01:10:00,0.0,0.0,NW,325
15,2024-09-01 01:15:00,0.0,0.0,NW,326
16,2024-09-01 01:20:00,0.0,0.0,NNW,329
17,2024-09-01 01:25:00,0.0,0.0,NNW,344
18,2024-09-01 01:30:00,0.0,0.0,N,6
19,2024-09-01 01:35:00,0.0,0.0,N,0
20,2024-09-01 01:40:01,0.0,0.0,NNW,342
21,2024-09-01 01:45:01,0.8,3.5,NNW,338
22,2024-09-01 01:50:01,1.8,3.5,NNW,334
23,2024-09-01 01:55:00,2.5,3.5,NNW,336
24,2024-09-01 02:00:00,1.8,2.5,NNW,344
25,2024-09-01 02:05:00,1.8,3.5,NNW,346
26,2024-09-01 02:10:01,1.8,3.5,NNW,342
27,2024-09-01 02:15:01,0.8,2.5,NNW,338
28,2024-09-01 02:20:01,0.0,0.8,NNW,338
29,2024-09-01 02:25:01,0.0,0.8,NNW,342
30,2024-09-01 02:30:00,0.0,0.8,N,349
31,2024-09-01 02:35:01,0.0,0.8,N,358
32,2024-09-01 02:40:00,0.0,1.8,N,357
33,2024-09-01 02:45:01,0.8,2.5,N,6
34,2024-09-01 02:50:00,0.8,3.5,NNE,23
35,2024-09-01 02:55:00,0.8,3.5,NNE,33
36,2024-09-01 03:00:00,2.5,4.3,NE,40
37,2024-09-01 03:05:00,2.5,4.3,NE,42
38,2024-09-01 03:10:00,2.5,3.5,NE,35
39,2024-09-01 03:15:00,1.8,3.5,NNE,29
40,2024-09-01 03:20:00,0.8,3.5,NNE,30
41,2024-09-01 03:25:00,0.8,3.5,NNE,32
42,2024-09-01 03:30:00,0.0,3.5,NNE,30
43,2024-09-01 03:35:00,0.0,1.8,N,3
44,2024-09-01 03:40:00,0.8,2.5,NNW,332
45,2024-09-01 03:45:00,2.5,3.5,NNW,333
46,2024-09-01 03:50:00,2.5,3.5,NNW,336
47,2024-09-01 03:55:00,2.5,3.5,NNW,335
48,2024-09-01 04:00:01,2.5,3.5,NNW,335
49,2024-09-01 07:20:01,2.5,1.7,NNW,346
50,2024-09-01 07:25:02,0.0,1.7,NNW,346
51,2024-09-01 07:30:02,0.0,0.0,NNW,346
52,2024-09-01 07:35:02,0.0,0.0,NNW,346
53,2024-09-01 07:40:01,0.0,0.0,NNW,346
54,2024-09-01 07:45:01,0.0,0.0,NNW,346
55,2024-09-01 07:50:01,0.0,0.0,NNW,346
56,2024-09-01 07:55:01,0.0,0.0,N,3
57,2024-09-01 08:00:02,0.0,0.0,NE,36
58,2024-09-01 08:05:01,0.0,1.8,ENE,57
59,2024-09-01 08:10:02,0.8,1.8,ENE,58
60,2024-09-01 08:15:02,0.8,1.8,NE,54
61,2024-09-01 08:20:01,0.8,2.5,NNE,30
62,2024-09-01 08:25:01,1.8,4.3,N,356
63,2024-09-01 08:30:01,3.5,4.3,NNW,346
64,2024-09-01 08:35:01,3.5,4.3,N,349
65,2024-09-01 08:40:01,2.5,4.3,N,357
66,2024-09-01 08:45:01,2.5,3.5,N,7
67,2024-09-01 08:50:01,2.5,4.3,N,6
68,2024-09-01 08:55:00,3.5,7.0,N,1
69,2024-09-01 09:00:00,4.3,7.0,N,354
70,2024-09-01 09:05:02,3.5,5.2,N,352
71,2024-09-01 09:10:00,3.5,6.1,NNW,348
72,2024-09-01 09:15:01,4.3,6.1,N,351
73,2024-09-01 09:20:02,3.5,6.0,N,6
74,2024-09-01 09:25:01,2.5,4.3,NNE,20
75,2024-09-01 09:30:01,2.5,4.3,NNE,29
76,2024-09-01 09:35:01,2.5,5.2,NNE,33
77,2024-09-01 09:40:01,3.5,7.0,NE,35
78,2024-09-01 09:45:02,4.3,8.7,NE,35
79,2024-09-01 09:50:01,4.3,9.5,NE,40
80,2024-09-01 09:55:01,4.3,9.5,NE,43
81,2024-09-01 10:00:01,4.3,7.8,NE,44
82,2024-09-01 10:05:00,4.3,7.8,NE,43
83,2024-09-01 10:10:01,3.5,7.0,NE,38
84,2024-09-01 10:15:01,3.5,7.0,NE,38
85,2024-09-01 10:20:00,2.5,7.0,NE,44
86,2024-09-01 10:25:01,2.5,7.0,NE,37
87,2024-09-01 10:30:01,3.5,5.2,NNE,29
88,2024-09-01 10:35:00,2.5,4.3,NE,34
89,2024-09-01 10:40:01,1.8,4.3,NNE,32
90,2024-09-01 10:45:00,1.8,4.3,NNE,26
91,2024-09-01 10:50:01,1.8,3.5,NE,39
92,2024-09-01 10:55:02,1.8,3.5,ENE,58
93,2024-09-01 11:00:02,1.8,3.5,ENE,69
94,2024-09-01 11:05:01,1.8,3.5,ENE,78
95,2024-09-01 11:10:02,1.8,3.5,E,88
96,2024-09-01 11:15:02,2.5,5.2,E,100
97,2024-09-01 11:20:02,3.5,6.1,E,100
98,2024-09-01 11:25:02,4.3,6.1,E,95
99,2024-09-01 11:30:01,5.2,6.0,E,92
100,2024-09-01 11:35:02,4.3,6.0,E,90
101,2024-09-01 11:40:00,3.5,6.0,E,92
102,2024-09-01 11:45:01,4.3,6.0,E,95
103,2024-09-01 11:50:00,4.3,6.0,E,101
104,2024-09-01 11:55:01,5.2,6.0,ESE,107
105,2024-09-01 12:00:01,5.2,6.0,ESE,108
106,2024-09-01 12:05:00,5.2,6.0,ESE,109
107,2024-09-01 12:10:00,5.2,6.0,ESE,113
108,2024-09-01 12:15:00,5.2,6.0,ESE,117
109,2024-09-01 12:20:01,4.3,6.0,ESE,117
110,2024-09-01 12:25:01,4.3,6.0,ESE,117
111,2024-09-01 12:30:02,4.3,6.0,ESE,119
112,2024-09-01 12:35:01,4.3,6.0,ESE,120
113,2024-09-01 12:40:02,4.3,6.0,ESE,119
114,2024-09-01 12:45:01,5.2,6.0,ESE,118
115,2024-09-01 12:50:02,5.2,6.0,ESE,119
116,2024-09-01 12:55:01,4.3,6.0,SE,124
117,2024-09-01 13:00:02,3.5,5.2,SE,126
118,2024-09-01 13:05:02,3.5,5.2,SE,128
119,2024-09-01 13:10:02,3.5,5.2,SE,134
120,2024-09-01 13:15:00,4.3,5.2,SE,135
121,2024-09-01 13:20:01,3.5,5.2,SE,136
122,2024-09-01 13:25:01,3.5,5.2,SE,139
123,2024-09-01 13:30:01,3.5,5.2,SE,142
124,2024-09-01 13:35:01,3.5,5.2,SE,144
125,2024-09-01 13:40:01,3.5,4.3,SE,144
126,2024-09-01 13:45:01,3.5,4.3,SE,141
127,2024-09-01 13:50:00,2.5,4.3,SE,139
128,2024-09-01 13:55:01,2.5,3.5,SE,140
129,2024-09-01 14:00:01,2.5,4.3,SE,139
130,2024-09-01 14:05:02,3.5,7.0,SSE,151
131,2024-09-01 14:10:01,5.2,7.8,SSE,165
132,2024-09-01 14:15:01,6.0,7.8,S,169
133,2024-09-01 14:20:01,5.2,7.0,S,171
134,2024-09-01 14:25:02,4.3,7.0,S,177
135,2024-09-01 14:30:02,4.3,7.0,S,185
136,2024-09-01 14:35:01,4.3,6.0,S,188
137,2024-09-01 14:40:00,5.2,7.0,S,185
138,2024-09-01 14:45:00,6.0,7.8,S,180
139,2024-09-01 14:50:00,7.0,8.7,S,177
140,2024-09-01 14:55:00,7.0,8.7,S,178
141,2024-09-01 15:00:00,7.0,9.5,S,179
142,2024-09-01 15:05:01,7.8,9.5,S,176
143,2024-09-01 15:10:00,7.0,8.7,S,181
144,2024-09-01 15:15:01,6.0,8.7,S,181
145,2024-09-01 15:20:01,7.0,9.6,S,177
146,2024-09-01 15:25:01,7.0,9.6,S,179
147,2024-09-01 15:30:01,6.0,9.5,S,190
148,2024-09-01 15:35:00,5.2,7.0,SSW,200
149,2024-09-01 15:40:01,5.2,7.0,SSW,203
150,2024-09-01 15:45:00,5.2,7.0,SSW,206
151,2024-09-01 15:50:00,5.2,7.0,SSW,206
152,2024-09-01 15:55:00,5.2,7.0,SSW,203
153,2024-09-01 16:00:00,5.2,7.0,SSW,201
154,2024-09-01 16:05:00,5.2,7.0,SSW,195
155,2024-09-01 16:10:00,5.2,6.0,SSW,192
156,2024-09-01 16:15:00,5.2,7.0,S,188
157,2024-09-01 16:20:00,5.2,7.0,S,186
158,2024-09-01 16:25:00,5.2,7.8,S,185
159,2024-09-01 16:30:00,5.2,7.8,S,181
160,2024-09-01 16:35:00,5.2,7.8,S,184
161,2024-09-01 16:40:00,6.0,7.0,S,184
162,2024-09-01 16:45:01,5.2,7.0,S,179
163,2024-09-01 16:50:00,5.2,7.0,S,182
164,2024-09-01 16:55:00,5.2,7.0,S,184
165,2024-09-01 17:00:00,5.2,7.8,S,182
166,2024-09-01 17:05:00,5.2,7.8,S,183
