time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2026-09-01 00:05:02,4.3,7.0,SE,144
2026-09-01 00:10:01,4.3,7.0,SE,146
2026-09-01 00:15:02,3.5,7.0,SE,144
2026-09-01 00:20:00,3.5,5.2,SE,127
2026-09-01 00:25:01,3.5,6.0,E,90
2026-09-01 00:30:01,4.3,6.0,NE,40
2026-09-01 00:35:01,3.5,6.0,NNE,13
2026-09-01 00:40:00,3.5,4.3,N,11
2026-09-01 00:45:01,3.5,7.0,NNE,19
2026-09-01 00:50:01,4.3,7.0,NNE,26
2026-09-01 00:55:00,5.2,7.0,NNE,30
2026-09-01 01:00:01,4.3,7.0,NNE,32
2026-09-01 01:05:00,5.2,7.8,NNE,31
2026-09-01 01:10:00,6.0,8.7,NE,34
2026-09-01 01:15:00,6.0,9.5,NE,42
2026-09-01 01:20:01,7.0,9.5,NE,45
2026-09-01 01:25:00,7.0,11.3,NE,39
2026-09-01 01:30:00,7.8,13.0,NE,37
2026-09-01 01:35:00,8.7,13.0,NE,35
2026-09-01 01:40:00,8.7,15.6,NE,34
2026-09-01 01:45:00,10.5,15.6,NE,39
2026-09-01 01:50:00,11.3,19.1,NE,45
2026-09-01 01:55:00,13.0,19.1,NE,45
2026-09-01 02:00:00,13.0,17.4,NE,45
2026-09-01 02:05:00,11.3,17.4,NE,45
2026-09-01 02:10:00,10.5,14.0,NE,40
2026-09-01 02:15:00,9.5,13.0,NE,35
2026-09-02 00:05:00,0.8,1.8,NNW,340
2026-09-02 00:10:00,0.8,1.8,NNW,342
2026-09-02 00:15:00,1.8,1.8,NNW,344
2026-09-02 00:20:00,1.8,1.8,N,349
2026-09-02 00:25:00,1.8,1.8,N,1
2026-09-02 00:30:01,1.8,1.8,N,6
2026-09-02 00:35:02,0.8,1.8,N,5
2026-09-02 00:40:00,0.8,0.8,N,6
2026-09-02 00:45:01,0.8,1.8,N,8
2026-09-02 00:50:01,0.8,1.8,N,5
2026-09-02 00:55:00,0.8,1.8,N,350
2026-09-03 00:05:01,0.0,0.0,NNW,340
2026-09-03 00:10:01,0.0,0.0,NNW,332
2026-09-03 00:15:00,0.0,0.0,NW,325
2026-09-03 00:20:01,0.0,0.0,NW,319
2026-09-03 00:25:01,0.0,0.0,NW,319
2026-09-03 00:30:00,0.0,0.0,NW,322
2026-09-03 00:35:01,0.0,0.0,NW,321
2026-09-03 00:40:00,0.0,0.0,NW,323
2026-09-03 00:45:01,0.0,0.0,NW,325
2026-09-03 00:50:01,0.0,0.0,NW,324
2026-09-04 00:05:02,2.5,4.3,NNW,346
2026-09-04 00:10:01,3.5,4.3,NNW,336
2026-09-04 00:15:01,3.5,4.3,NNW,330
2026-09-04 00:20:01,2.5,4.3,NNW,327
2026-09-04 00:25:01,2.5,3.5,NNW,330
2026-09-04 00:30:00,1.8,3.5,NNW,327
2026-09-04 00:35:00,1.8,3.5,NW,313
2026-09-04 00:40:00,1.8,2.5,NW,307
2026-09-04 00:45:01,1.8,2.5,NW,308
2026-09-04 00:50:01,0.8,1.8,NW,308
