time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2026-07-01 00:05:00,2.5,6.0,N,357
2026-07-07 00:05:01,2.5,2.5,WNW,303
2026-07-08 00:05:01,2.5,4.3,SE,139
2026-07-11 00:05:00,3.5,6.1,E,92
2026-07-11 00:10:01,4.3,7.0,E,87
2026-07-11 00:15:01,4.3,7.0,ENE,77
2026-07-11 00:20:01,4.3,7.0,ENE,69
2026-07-11 00:25:00,4.3,7.8,NE,40
2026-07-11 00:30:00,5.2,7.8,NNE,14
2026-07-11 00:35:00,4.3,7.8,NNE,14
2026-07-11 00:40:00,4.3,6.0,NNE,12
2026-07-11 00:45:00,4.3,6.0,N,5
2026-07-11 00:50:00,3.5,6.1,N,10
2026-07-11 00:55:00,3.5,6.1,NNE,23
2026-07-11 01:00:00,3.5,6.0,NNE,26
2026-07-11 01:05:01,3.5,6.0,NNE,30
2026-07-11 01:10:02,3.5,5.2,NNE,33
2026-07-11 01:15:02,3.5,4.3,NNE,32
2026-07-11 01:20:01,3.5,5.2,NNE,32
2026-07-11 01:25:01,3.5,5.2,NNE,32
2026-07-11 01:30:02,3.5,4.3,NNE,28
2026-07-11 01:35:01,3.5,5.2,NNE,21
2026-07-11 01:40:01,2.5,5.2,NNE,25
2026-07-11 01:45:02,2.5,4.3,NE,34
2026-07-11 01:50:01,2.5,5.2,NE,35
2026-07-11 01:55:00,2.5,5.2,NE,45
2026-07-11 02:00:01,2.5,4.3,NE,46
2026-07-11 02:05:01,3.5,5.2,NE,41
2026-07-11 02:10:00,3.5,5.2,NE,47
2026-07-11 02:15:00,5.2,10.5,ENE,76
2026-07-11 02:20:01,8.7,11.3,ESE,104
2026-07-11 02:25:01,8.7,11.3,ESE,107
2026-07-11 02:30:01,8.7,10.5,ESE,109
2026-07-11 02:35:01,8.7,10.5,ESE,110
2026-07-11 02:40:01,7.8,9.5,ESE,114
2026-07-11 02:45:00,7.0,8.7,SE,125
2026-07-11 02:50:01,7.0,8.7,SE,135
2026-07-11 02:55:00,7.0,8.7,SE,136
2026-07-11 03:00:01,6.0,8.7,SE,135
2026-07-11 03:05:01,5.2,7.0,SE,141
2026-07-11 03:10:01,4.3,7.0,SE,142
2026-07-11 03:15:01,2.5,4.3,SE,137
2026-07-11 03:20:02,2.5,6.0,SE,130
2026-07-11 03:25:00,3.5,6.0,SE,124
2026-07-11 03:30:01,2.5,5.2,SE,124
2026-07-11 03:35:00,2.5,5.2,ESE,113
2026-07-11 03:40:01,3.5,5.2,E,95
2026-07-11 03:45:01,4.3,6.1,E,92
2026-07-11 03:50:01,4.3,6.1,E,92
2026-07-11 03:55:00,4.3,7.0,E,85
2026-07-11 04:00:00,5.2,7.8,E,81
2026-07-11 04:05:00,6.0,7.8,E,83
2026-07-11 04:10:01,6.0,8.7,E,83
2026-07-11 04:15:01,6.0,8.7,ENE,76
2026-07-11 04:20:01,4.3,7.0,NE,48
2026-07-11 04:25:00,1.8,6.0,NNE,18
2026-07-11 04:30:00,0.8,2.6,N,1
2026-07-11 04:35:00,0.8,2.6,NNW,340
2026-07-11 04:40:00,1.8,3.5,NNW,334
2026-07-11 04:45:00,3.5,6.1,NNW,340
2026-07-11 04:50:01,4.3,7.0,N,350
2026-07-11 04:55:00,4.3,7.0,N,355
2026-07-11 05:00:00,4.3,7.0,N,355
2026-07-11 05:05:00,3.5,7.0,N,0
2026-07-11 05:10:00,3.5,7.0,N,8
2026-07-11 05:15:01,3.5,7.0,N,11
2026-07-11 05:20:00,3.5,7.0,NNE,15
2026-07-11 05:25:00,3.5,7.0,NNE,18
2026-07-11 05:30:00,3.5,6.0,NNE,19
2026-07-11 05:35:01,3.5,6.0,NNE,20
2026-07-11 05:40:00,3.5,6.0,NNE,18
2026-07-11 05:45:00,3.5,6.0,NNE,14
2026-07-11 05:50:00,3.5,7.0,N,6
2026-07-11 05:55:00,3.5,7.0,N,4
2026-07-11 06:00:00,2.5,5.2,N,358
2026-07-11 06:05:00,2.5,5.2,NNW,348
2026-07-11 06:10:00,2.5,4.3,N,358
2026-07-11 06:15:00,2.5,4.3,N,10
2026-07-11 06:20:00,2.5,4.3,NNE,14
2026-07-11 06:25:00,2.5,4.3,NNE,15
2026-07-11 06:30:00,2.5,4.3,NNE,19
2026-07-11 06:35:00,3.5,5.2,NNE,29
2026-07-11 06:40:01,4.3,7.0,NE,34
2026-07-11 06:45:00,3.5,7.0,NNE,28
2026-07-11 06:50:01,2.5,7.0,NNE,23
2026-07-11 06:55:01,2.5,7.0,NNE,23
2026-07-11 07:00:00,2.5,4.3,NNE,32
2026-07-11 07:05:00,2.5,5.2,NE,34
2026-07-11 07:10:00,3.5,6.1,NNE,20
2026-07-11 07:15:00,3.5,6.1,N,7
2026-07-11 07:20:00,2.5,4.3,N,358
2026-07-11 07:25:01,2.5,3.5,N,6
2026-07-11 07:30:00,2.5,4.3,NNE,15
2026-07-11 07:35:01,3.5,6.1,N,9
2026-07-11 07:40:00,3.5,6.1,N,11
2026-07-11 07:45:00,3.5,7.0,NNE,19
2026-07-11 07:50:00,3.5,7.0,NNE,20
2026-07-11 07:55:01,4.3,7.0,NNE,23
2026-07-11 08:00:00,4.3,7.0,NNE,26
2026-07-11 08:05:01,4.3,7.0,NNE,27
2026-07-11 08:10:00,5.2,7.8,NNE,26
2026-07-11 08:15:00,5.2,7.8,NNE,26
2026-07-11 08:20:00,5.2,7.8,NNE,27
2026-07-11 08:25:00,4.3,7.8,NNE,25
2026-07-11 08:30:00,4.3,7.8,NNE,26
2026-07-11 08:35:00,4.3,7.8,NNE,25
2026-07-11 08:40:00,4.3,7.0,NNE,25
2026-07-11 08:45:00,4.3,7.0,NNE,28
2026-07-11 08:50:00,3.5,6.0,NNE,31
2026-07-11 08:55:00,3.5,7.0,NNE,33
2026-07-11 09:00:01,4.3,7.0,NNE,32
2026-07-11 09:05:01,4.3,7.0,NNE,28
2026-07-11 09:10:00,4.3,7.0,NNE,25
2026-07-11 09:15:00,3.5,7.0,NNE,31
2026-07-11 09:20:00,3.5,7.0,NE,41
2026-07-11 09:25:00,3.5,5.2,NE,42
2026-07-11 09:30:00,3.5,5.2,NE,34
2026-07-11 09:35:01,3.5,4.3,NNE,30
2026-07-11 09:40:00,2.5,4.3,NNE,27
2026-07-11 09:45:00,2.5,4.3,NNE,22
2026-07-11 09:50:00,2.5,4.3,NNE,33
2026-07-11 09:55:00,2.5,4.3,NE,41
2026-07-11 10:00:00,2.5,4.3,NE,49
2026-07-11 10:05:00,3.5,6.1,ENE,65
2026-07-11 10:10:00,4.3,6.1,ENE,75
2026-07-11 10:15:00,4.3,6.0,ENE,77
2026-07-11 10:20:00,4.3,6.0,ENE,74
2026-07-11 10:25:00,3.5,5.2,ENE,78
2026-07-11 10:30:00,3.5,5.2,E,89
2026-07-11 10:35:01,4.3,6.1,E,95
2026-07-11 10:40:00,4.3,6.1,E,96
2026-07-11 10:45:00,3.5,6.0,E,95
2026-07-11 10:50:00,3.5,5.2,E,87
2026-07-11 10:55:00,3.5,6.0,ENE,73
2026-07-11 11:00:00,3.5,6.0,ENE,66
2026-07-11 11:05:00,3.5,4.3,ENE,72
2026-07-11 11:10:01,3.5,4.3,ENE,70
2026-07-11 11:15:01,3.5,6.1,ENE,71
2026-07-11 11:20:00,3.5,6.1,E,80
2026-07-11 11:25:01,2.5,4.3,E,82
2026-07-11 11:30:01,3.5,6.1,ENE,75
2026-07-11 11:35:01,3.5,6.1,ENE,69
2026-07-11 11:40:01,3.5,6.0,ENE,66
